feature,importance
bin__is_night,0.4919099227173978
num__hr_sin,0.19161109497502699
num__temp,0.05343905067887456
bin__is_peak_hour,0.0487373187532509
num__atemp,0.0361532394339017
num__hr_cos,0.026062952431483703
bin__yr,0.021051750970868296
bin__is_weekend,0.014721461783497407
bin__workingday,0.0143057202687326
num__dayofyear,0.01266255573473137
num__hum,0.006844449170046968
bin__bad_weather,0.006551448443954565
cat__hr_5,0.005507351016636097
cat__weathersit_3,0.005334119054801157
cat__season_4,0.004818953944464913
num__hum_wind_interaction,0.00438091675259189
num__weekday_sin,0.003740929008599769
num__day,0.003692843464145372
num__temp_hum_interaction,0.0036003310250956925
num__weekofyear,0.0033669292711876464
cat__season_1,0.0031905332333331156
cat__hr_8,0.0029411805019056445
num__temp_wind_interaction,0.0026593733381956013
num__feel_temp_diff,0.0026314848488408434
cat__hr_1,0.002516538060768601
cat__hr_0,0.0020878913187944606
num__mnth_cos,0.0016776541783566213
cat__hr_2,0.001359736656624148
num__windspeed,0.001349416165808802
cat__weekday_5,0.0011863135360343727
num__weekday_cos,0.0011738705957710942
cat__hr_3,0.001156617347753621
bin__bad_weather_peak,0.0011453085838091953
bin__is_commute_hour,0.0010987705528147376
cat__hr_6,0.0010946447195823881
cat__hr_10,0.0009879010790545665
cat__weekday_0,0.000934617742984351
bin__holiday,0.0007419123138201716
num__mnth_sin,0.0007320220823468749
cat__hr_22,0.0007212107155310775
cat__hr_4,0.0007020477782359202
cat__hr_7,0.0006749880204201623
bin__workingday_commute,0.0006321715703507293
bin__is_daytime,0.0005877276651225181
cat__hr_9,0.0005555335943668757
cat__hr_23,0.0005056500533298883
cat__hum_bin_very_wet,0.0004704592778198475
cat__hr_11,0.0003893287346501798
cat__weathersit_1,0.0003517247339685599
cat__temp_bin_cool,0.00034087830172051204
cat__windspeed_bin_middle,0.00029659550285996203
bin__good_weather,0.00029539460259917237
cat__temp_bin_cold,0.0002906150059575239
cat__hum_bin_wet,0.000286905677861643
cat__weekday_3,0.0002652128719236307
cat__weekday_4,0.0002488396982349606
cat__weathersit_2,0.00023411431820941113
cat__weekday_6,0.00020276604532829803
cat__weekday_1,0.00020233948799373386
bin__weekend_daytime,0.0001851122836891096
cat__hr_19,0.00018375861096619117
cat__weekday_2,0.00014508213088797628
cat__mnth_2,0.0001396236918761439
cat__season_2,0.00013417165634796007
cat__temp_bin_warm,0.000127022631290233
cat__hum_bin_normal,0.00012538203394247226
cat__hr_20,0.00010494949111279523
cat__mnth_3,0.00010166883721075179
cat__hr_15,9.409524535499358e-05
cat__windspeed_bin_very_high,9.308173021379908e-05
cat__mnth_5,9.030284168555446e-05
cat__mnth_7,8.666150963851546e-05
cat__windspeed_bin_low,8.514383437160327e-05
cat__hr_16,8.27913265617719e-05
cat__mnth_10,7.734049928114525e-05
cat__hr_21,7.18294340795719e-05
cat__windspeed_bin_high,7.178627442702096e-05
cat__mnth_11,6.885325864882423e-05
cat__mnth_12,6.438041023111103e-05
cat__mnth_6,5.907489864497569e-05
cat__mnth_4,5.752280708739514e-05
cat__hr_14,5.133015914186666e-05
cat__hr_17,5.032960157471828e-05
cat__season_3,4.8501706341840414e-05
cat__hum_bin_dry,4.759588400356241e-05
cat__mnth_9,4.756291930685084e-05
cat__mnth_8,3.8733900230405334e-05
cat__mnth_1,2.055099436076064e-05
cat__hr_18,1.128415675842481e-05
cat__hr_13,9.451513684340454e-06
cat__hr_12,7.446401794676495e-06
cat__temp_bin_hot,3.947912879200076e-06
cat__weathersit_4,0.0
