,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill_liters,refill_gas
count,388.0,388.0,388.0,376.0,388.0,93,388,388.0,388.0,388.0,13.0,13
unique,,,,,,12,2,,,,,2
top,,,,,,rain,SP98,,,,,SP98
freq,,,,,,32,228,,,,,8
mean,19.65283505154639,4.912371134020619,41.92783505154639,21.929521276595743,11.358247422680412,,,0.07731958762886598,0.12371134020618557,0.08247422680412371,37.11538461538461,
std,22.6678366593528,1.0331715534231696,13.598523572906826,1.0104550972438595,6.9915422526368785,,,0.26744272912551426,0.32967706252607454,0.2754410357806318,8.58728188988869,
min,1.3,3.3,14.0,19.0,-5.0,,,0.0,0.0,0.0,10.0,
25%,11.8,4.3,32.75,21.5,7.0,,,0.0,0.0,0.0,37.6,
50%,14.6,4.7,40.5,22.0,10.0,,,0.0,0.0,0.0,38.0,
75%,19.0,5.3,50.0,22.5,16.0,,,0.0,0.0,0.0,39.0,
max,216.1,12.2,90.0,25.5,31.0,,,1.0,1.0,1.0,45.0,
