,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Loan_ID,614,614,LP001002,1,,,,,,,
Gender,601,2,Male,489,,,,,,,
Married,611,2,Yes,398,,,,,,,
Dependents,599,4,0,345,,,,,,,
Education,614,2,Graduate,480,,,,,,,
Self_Employed,582,2,No,500,,,,,,,
ApplicantIncome,614.0,,,,5403.459283387622,6109.041673387174,150.0,2877.5,3812.5,5795.0,81000.0
CoapplicantIncome,614.0,,,,1621.2457980271008,2926.2483692241917,0.0,0.0,1188.5,2297.25,41667.0
LoanAmount,592.0,,,,146.41216216216216,85.58732523570545,9.0,100.0,128.0,168.0,700.0
Loan_Amount_Term,600.0,,,,342.0,65.12040985461256,12.0,360.0,360.0,360.0,480.0
Credit_History,564.0,,,,0.8421985815602837,0.3648783192364049,0.0,1.0,1.0,1.0,1.0
Property_Area,614,3,Semiurban,233,,,,,,,
Loan_Status,614,2,Y,422,,,,,,,
