feature,importance_mean,importance_std
Credit_History,0.26518279317330534,0.038471383350786176
LoanIncomeRatio,0.07241405981938194,0.018986280132743387
Property_Area,0.010216424027177673,0.008795823750021432
IncomePerDependent,0.005158712166208432,0.009667948884250334
Dependents,0.004621508405926298,0.009057332424787378
LogLoanAmount,0.003642823562493844,0.00950977191352745
Loan_Amount_Term,0.0017838541846901008,0.007850805618520976
CreditHistoryMissing,0.00021679315526036415,0.0013538728206674473
ApplicantIncome,0.000154135881408618,0.011001633462373577
Married,0.0,0.0
Dependents_Numeric,0.0,0.0
Self_Employed,0.0,0.0
HasCoapplicant,0.0,0.0
Gender,0.0,0.0
InstallmentProxy,-0.0008589490049364795,0.011176542646302495
LogTotalIncome,-0.0024047498163947438,0.009289591505599203
TotalIncome,-0.003689547162639459,0.009980314774513548
Education,-0.0037915721674073475,0.0073752190065394145
CoapplicantIncome,-0.004217403828760641,0.007866711011105185
LoanAmount,-0.012390873287119911,0.005115496514011957
